id,document,label
5783305,운이가 살았으면 더 좋았을 꺼 같아요! 넘 재미있게 잘 봤습니다. 수고하셨어요,1
4028446,스크림 표정 대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
7720129,굿,1
9342337,너무 공감도 되고.. 예쁜 영화라고 느꼈음 ㅠㅠ 특히 알렉스 캐릭터가 진짜 매력적,1
9812675,"힘든 시기를 겪고있는 지금, 내게 많은 위로가 되어준 영화",1
7413332,無言,1
7718614,정말 정말 재밌어요!!!!!♥♥,1
6807305,1편보다낫네요ㅋㅋ 산드라블록한테푹빠짐ㅋㅋㅋㅋ,1
4411879,정말 강추 정말 재밌습니다.,1
6693517,진짜 제가 봤던 영화 중에서 제일 뜻깊었고요 후쿠다 마유코양의 평생팬이에요~,1
5425123,진짜재밌어요ㅠㅠㅠㅠㅠ진짜찐짜짱!!!,1
4754799,배우들의 연기도 좋았지만 무엇보다 그 당시 여성들의 삶이 안타까웠다,1
8792066,티비에서 오늘 또하네요. 예전에 본건데 그래두 또 눈이가네요. 연기력이며 작품이며 다 좋아요^^근데 아쉬운점은 실감나게 한다고 카메라 마이 흔든거같은데..걍 정신없이 어지러버씀ㅡㅡ그것만빼면 굿,1
2434675,우연 그리고 운명 선택 . 이세가지가 쏟아내는 빛,1
9240050,어린시절 최고의 미드! 스타링 빅 모로우~!!잊혀지지 않는 명작!!!,1
7777959,TV상영종료후 1년뒤에 극장판이 나올정도의 초 대작.TV편의 설정오류 수정과 새로운 씬 추가가 주된 볼거리. 마마마는 어른들을 위한 애니이다.※우측의 리뷰를 보고 애들과 함께 볼려고 한 분들에게는 절대로 애들에게 보여줄 작품이 아니라고 강력히 주장한다,1
9812285,봄에 맞은 영화 잔잔하면서 은은하게 빛을 내는 영화.,1
7432446,정말 사막이라는 절망적인 환경에서 갈등과 고난 슬픔을 겪으면서 나중에 탈출에 성공하는 감동영화 입니다,1
7769413,다시 보고싶다,1
1637630,"추억의 SF외화...도노반,카일,줄리엣,다이아나...빨간색 V자 라카칠",1
2006978,이자벨의혼신의 연기 최고,1
7645950,몰입도 최강이구랴 ㅎㅎㅎ,1
8546890,강렬하게 머릿속에 남는 영화 다시 한번 또 보고싶습니다,1
10126372,진짜 재미있어요! 실망시키지도않고 도라에몽극장판은 처음보는데 이건 진짜 재미있어요!,1
5604053,영화 자체로는 재밌었다.. 그당시 제목 안보고 봤는데 오늘에서야 제목알았네..,1
7674139,엄마가4월에돌아가시기전에웃음면서같이보던그장면국수집에찾아가밀가루맞고싸움던장면..오늘마지막회보면서눈물이납니다,1
10179306,슬프고 감동적이다:),1
10128580,아무 생각없이 봤는데 재밌어요~~^^,1
9076407,쓰레기 함부로 버리지 맙시다.,1
7136938,완전 팬됫음 굳굳,1
8039615,장난없네.. 기대안하고 그냥 봤다가 소름돋았다 ;; 오펀 천사의 게임이 별4개라면 이건 5개 주고싶다 진짜 재밌다,1
10136987,전혀 기대 없이 들어가 즐겁게 나왔고 서핑하고 싶어졌다!,1
9770964,배우들 연기가 좋네요 !!,1
2002732,타이타닉을 넘어선 엄청난 감동..,1
4801461,정말로 감동적이에용~질리지 않는 영화에요~,1
2495035,우리나라엔 에드워드 머로우 같은 사람이 있나? 궁금하다,1
266310,"잔잔한 감동과 아름다운,혼자만의 바람(?)",1
9208217,와우 쵝오에요!! 나만 당하고 있기엔 너무 억울해요!!,1
10162069,아무 생각없이 평점 안보고 영화를 보다가 마지막 엔딩에서 소름 돋는걸 느끼는 내모습이였다... 몇번을 봐도 질리지 않고 볼 수 있는 영화 ㅠㅠ 다크나이트 시리즈,1
9795318,정말 많이 웃었어요. 재미있어요.^^,1
10247300,지금 cgv에서 해줘서 보는데. 고든이 어린 브루스에게 아빠의 코트를 걸쳐주며 다독이는 장면이 다크나이트 라이즈에서 고든에게 배트맨이 정체를 알려줄때랑 연결되면서 뭐라 형용할후없는 감정이 드네요,1
3506879,아주 좋은 영화네요. 재밌어요 탄탄한 짜임새도 좋네요,1
9994618,광수 잘하고 있다 응원한다,1
